u_applications_impacted,dv_u_business_segments,dv_u_alert_generated_from_monitoring,u_root_cause_owner,dv_priority,dv_category,dv_contact_type,dv_short_description,dv_company,dv_close_code,dv_u_incident_cause_code,u_root_cause_breakdown,u_summary_impact_root_summary,u_alert_to_who,clean_date,year,application_category
Unspecified Applications,BSG,Splunk,FIS,Priority 6,Monitoring,Self-service,IST/ Issue with PPAU file processing ,FIS,Solved (Permanently),Batch error,performance,File processing took longer than expected due to number of records received from upstream source. No SLA breached as the file was sent to PayPal before the cut-off time.,Unknown,2024-11-03 00:22:49,2024,Unknown
"Consumer eBanking (CeB) 
CeB Mobile
IBS APIs on Code Connect
EFT services- Brown Deer-CMSE",BSG,Splunk,FIS,Priority 3,Application,Email,"Database reorg job failure causing intermittent access issues to CeB, IBS APIs and EFT Services applications",FIS,Solved (Permanently),Access issue,performance,"Database Re-org job failure caused intermittent access issues to Consumer eBanking (CeB), CeB Mobile, IBS APIs and EFT Services applications for IMSO bank users. The failed DB partition was restored to mitigate the issue. Further root cause will be tracked via a Problem ticket.",Unknown,2024-11-03 17:22:11,2024,Digital
MQ QueueManager,BSG,Splunk,FIS,Priority 3,Application,Self-service, MQ QueueManager ,FIS,Solved (Permanently),Capacity issue,configuration,"Wire transfers were not being transmitted and stuck in an ""entered"" state for four banks, Amerant, Bankers Trust, CIBC, and WSFS in MQ QueueManager.  Clients may have received failure messages when attempting to approve wires. in MQ QueueManager. Following the change implementation to create a secondary MQ queue, MQ was failed over and a floating IP with 15GB was reassigned. Services were restarted at 17:22 CT, and the keystore was replaced to resolve the issue. Root cause is under investigation.",Unknown,2024-11-19 01:31:33,2024,Other
Base2000,BSG,No Known Alert,FIS,Priority 3,Application,Service portal,Base2000 - Suncoast Credit Union accounts inadvertently purged,FIS,Solved (Permanently),Human error,change script,"Approximately 38k cards were inadvertently purged from Credit Base2000 system for single client, Suncoast Credit Union. Affected cardholders will be unable to use their credit and debit cards until their accounts are fully restored. There is potential for downstream impact to the Falcon, eZCard, statements, Loyalty, and ETHOS applications. The root cause is attributed to the purge criteria in a script for a scheduled change was incorrect.",Unknown,2024-11-25 14:33:07,2024,Core Banking
Applications hosted in Little Rock may have experienced latency.,"BSG, CM",No Known Alert,FIS,Priority 3,Network,Walk up,FIS Staff / Latency Accessing Bastions and Apps in Little Rock,FIS,No Action Taken,Undetermined,patching,Internal FIS users in US regions experienced an out of sync issue with Global Protect and also experienced latency when accessing applications in Little Rock [LR] Data Center. Impacted users switched to South-east and West region or VPN backup to mitigate the impact. The issue resolved without technical intervention from FIS or vendor resources. A problem ticket has been raised for further analysis.,Unknown,2024-11-19 22:18:02,2024,Other
"Applications moved from PHX to BDOC DC - Payments One (OCP API, VM APIs and User Interface), Consumer eBanking, Zelle, Business eBanking, and DIH (To mitigate impact to BillPay), DigitalOne Teller (WSFS), All IDP Cloud, FN Settlement, Falcon, Data Navigator, OnDOT (SecureLockEquip), IBS Teller

Applications moved from PHX to LRK - Prepaid

Applications still in PHX DC - Norcross Debit, FISB Stations, Infinity Connect, EBT (NY outbound Utility), CDAP, Miser (Cohesion, Desktop, BI, BA), BillPay (Client - NCR), Cash Express, CDAP

Note: 
BillPay was only in BDOC, team moved DIH to BDOC to avoid the impact.
DigitalOne (CIT, BMO, BOH, Ameris, MFB) - These D1 apps were not impacted but were failed over as a precautionary measure.","BSG, MS",Spectrum,FIS,Priority 3,Application,Email,Phoenix DC / Spike in failures and response time for multiple applications,FIS,Solved (Permanently),Connectivity issue,code,"The applications hosted in Phoenix data center experienced degraded performance. No impact to transaction processing observed. Clients may experience slow responses from the affected applications. Applications failed over to alternate data centers to mitigate impact. Support teams continue to investigate the issue, workarounds, and a case has been raised with Cisco for root cause.",The Network team received the alert for switch CAS39.,2024-11-24 12:17:16,2024,Digital
"BS Home Page, IBS Exception Processing, IBS Mobile Banker and IBS Business Intelligence applications.",BSG,Other,FIS,Priority 2,Application,Other,"IBS Home Page, IBS Exception processing, IBS Tablet  - Multiple clients were unable to login",FIS,Solved (Permanently),Hardware failure,human error,"Clients were unable to login to the IBS Homepage to access IBS applications (IBS Home Page, IBS Exception Processing, IBS Mobile Banker, IBS Business Intelligence). IBS application logins for banks on Fox and Kid LPARS were impacted. Teams were unable to renew the license for CPU with Vanguard and had to use a prior version. At 06:55 CT, the license was reverted back to a prior working version on the BDOC mainframe. Root cause to be determined.",Team received an alert through SAFAL and team identified the issue themselves before client reported it.,2024-12-03 14:14:59,2024,Digital
Card Pro,BSG,No Known Alert,FIS,Priority 4,Application,Service portal,Cap1 not receiving Card Pro delivery events,FIS,Solved (Permanently),Application issue,change deployment,FIS support implemented a fix into Production on 18-Dec. As part of release which fixed issue . CapOne validated the fix and confirmed that the issue is resolved now.,Unknown,2024-12-19 18:39:46,2024,Other
Systematics ,BSG,No Known Alert,client vendor,Priority 3,Mainframe,Self-service,Systematics / RMAB Transaction inquiry failure for Cadence Bank.,FIS,Solved (workaround),Connectivity issue,external,RMAB (Bank Card) transaction inquiry failures for Cadence Bank on Systematics due to a configuration error within the client's environment.,Unknown,2023-05-04 05:03:17,2023,Other
Unspecified Applications,BSG,No Known Alert,FIS,Priority 5,Application,Self-service,OAO - Critical Vulnerability Fix,FIS,Solved (Permanently),Coding/script,code,Bug Bounty issues for Clients,Unknown,2023-05-08 15:40:03,2023,Unknown
ImageCentre - FIS DirectLink Merchant (DLM),BSG,No Known Alert,FIS,Priority 4,Application,Self-service,Unable to Create New Merchant Profile in FIS DirectLink Merchant (DLM),FIS,Solved (Permanently),Change induced,change deployment,DirectLink Merchant (DLM) of Image Centre was unable to onboard new clients due to a code issue in production release. ,Unknown,2023-05-09 15:09:45,2023,Image/Doc
Unspecified Applications,BSG,No Known Alert,FIS,Priority 5,Application,Email,GetPaid / AGASPPHLXEP003 server is inaccessible (SPOF),FIS,Solved (Permanently),Capacity issue,disk space,The server was inaccessible because the data store was full. A Problem ticket will be created for a detailed root cause investigation.,Unknown,2023-05-12 11:10:49,2023,Unknown
eFunds,BSG,No Known Alert,FIS,Priority 4,Application,Phone,eAccess is unavailable for agents in the Philippines. ,FIS,Solved (workaround),Connectivity issue,unknown,eAccess was unavailable for agents in the Philippines. The root cause is still under investigation.,Unknown,2023-05-15 13:14:50,2023,Other
"IBS, API",BSG,No Known Alert,FIS,Priority 4,Application,Service portal,IBS Dynamic Loan Boarding V1 Authentication issue,FIS,Solved (Permanently),Application issue,configuration,"CS05649499 / IN24015997125 –  CIM NA
IN24015997935-IBS Connectware Service Delivery
 
Client : The Bancorp Bank, National Association
Product: IBS Banking System
Priority : P1
 
Issue : IBS Dynamic Loan Boarding V1 Authentication issue
Impact :  The dynamic loan boarding endpoint fails with ""User is not authenticated to perform this request""

Resolution - Correct Security configuration was added to the infinity connect which resolved the issue.
 
Start Time :  2024-12-17 08:59:44 EST
CIM Engaged: 2024-12-17 09:10 EST
End Time : 2024-12-17 12:39 EST
 
 
Team Engaged :
CIM NA : Varma, RahulRajkumar
IBS Connectware and Open API Support : Safran, Alvienne Ellys / Kassab, Jason
IBS-FRC SD Linux: Balakrishnan, Arun Kumar /  Pandya, Priyank
CTO DIH -Amit Kumar

Problem ticket- NA as it is not a production issue.",Unknown,2024-12-17 18:03:28,2024,Core Banking
Unspecified Applications,BSG,No Known Alert,FIS,Priority 5,Application,Service portal,Application server is offline,FIS,Solved (Permanently),Connectivity issue,hardware,"FIS NOC team verified and found that, FIS primary router was not working and requested 
client to switch over to secondary router, Bank is up now with secondary router. NOC team checked with vendor Verizon and found that there was fiber cut in last mile provider network. Issue stands resolved now.",Unknown,2024-12-18 17:56:59,2024,Unknown
Unspecified Applications,BSG,No Known Alert,Client,Priority 4,Application,Service portal,First National Community Bank-Prod-Telephone Banking down,FIS,No Action Taken,No Action Required,external,First National Community Bank-PROD-Telephone Banking down,Unknown,2024-12-23 21:34:02,2024,Unknown
Prepaid Sunrise ,BSG,SnowCentral Event,FIS,Priority 3,Monitoring,Walk up,Prepaid Sunrise / Latency due to high number of API calls,FIS,Solved (Permanently),Configuration issue,code,"Prepaid Sunrise clients Dash, Soda Health, and Nation Benefits experienced slow response times due to high latency on the SQL database.  SQL ""Statistics performance"" was improved and unoptimized queries that caused excessive CPU utilization were optimized. A problem ticket has been opened for further investigation.",Prepaid Command Center ,2025-01-04 17:57:24,2025,Cards
Horizon XE,BSG,No Known Alert,FIS,Priority 4,Application,Service portal,QNBT - Horizon - Bank users are unable to access Horizon ,FIS,Solved (workaround),Application issue,configuration,"Bank users are unable to access Horizon application and hence cannot service their customers 

CIM bridge is ongoing with internal support teams for investigation. FIS Support restarted the Apache Tomcat services. Bank confirmed few users are able to login now to Horizon XE successfully. ",Unknown,2025-01-03 16:42:09,2025,Core Banking
FPS & CHAPS,BSG,Splunk,Client,Priority 4,Monitoring,Event monitor,P4 / CP2 - EMEA - PaaS -Splunk Alert: PAAS - PROD/DR - VM - FPS - Check inbound tech failures every hour 7 days a week Raise a P2 and callout PaaS L2 Support,FIS,Solved by Client/Vendor,Power outage,external,"Due to intermittent disconnects the transactions failed and FPS/CHAPS went to STIP due to technical failures.

The client confirmed there was a power outage in one of their data centre. Connex was put to STIP 09:25 and CHAPS at 09:45 GMT by FIS Support.  Client advised issue is resolved. Client has been removed from STIP and back online. All FPS and CHAPS payments are processed now. ",Unknown,2025-01-09 12:33:07,2025,Other
Unspecified Applications,BSG,No Known Alert,FIS,Priority 4,Application,Service portal,Equitable Bank- Critical Login Issue - BASE2000 Unavailable for Equitable Bank,FIS,Solved (Permanently),Access issue,configuration,Equitable Bank- Critical Login Issue - BASE2000 Unavailable for Equitable Bank,Unknown,2025-01-20 16:49:43,2025,Unknown
eWire,BSG,Splunk,FIS,Priority 3,Application,Other,eWire / Transactions are queued and not being processed to FED,FIS,Solved (workaround),Coding/script,change validation,"eWires were being queued as a result of test messages that FED issued during a weekend ISO test. Transactions were being queued, and impacted clients were unable to process eWires to the FED. Support teams cleared all of the test transactions and the transaction queues drained. The root cause has been attributed to specific test messages from the FED's weekend ISO testing in the queue which prevented the production wires to be processed.",Unknown,2025-01-27 20:37:10,2025,Other
Unspecified Applications,BSG,No Known Alert,fis vendor,Priority 4,Voice Video Services,Self-service,NICE InContact / SLA reports are not getting delivered to the client due to API connectivity issue,FIS,Solved (workaround),Undetermined,unknown,"Call Center reported SLA Reports were not being sent to clients.  Nice In Contact (vendor) found there was a delay in processing the job causing the 404 error.  Nice In Contact informed support to rerun the job.  Once job reran, job processed, and reports generated successfully.   Any remaining data that was missed will be worked by the development team and tracked via a problem record.  ",Call Center when they attempting to submit the report a 404 error was produced.  No automated alert was generated. ,2025-02-07 23:12:05,2025,Unknown
Profile,BSG,No Known Alert,Client,Priority 5,Application,Service portal,SCW - Profile - JDBC Connection issues.,FIS,No Action Taken,Undetermined,unknown,"Summary: -
Tickets: CS05794541 / IN25016404471
Start: 2025-02-08 12:30 EST
End: 2025-02-08 13:30 EST
CIM Engaged: 2025-02-08 15:04 ET
Impact Mitigated: 2025-02-08 13:30 EST

Issue Description: SCW - Profile - JDBC Connection issues.
Business Impact: Client is observing latencies and is impacting Apps from CET Capability APIs to Schwab Mobile Middleware (MoM), CET Capability APIs which is not a good client experience.

Client Action: NA.
FIS Action:  CIM initiated the bridge and engaged Client Care API Support & Profile PO App Support to triage the issue. Karen Anderson Profile PO App Support joined and suggested to page - Profile - PO Web – US as she didn't see any SCAER errors. Jennilene Pol from Care API Support joined the call and checking the logs and requested to collect the UUID details from the client. Further, Jason Kassab joined the call for further assistance and shared his detailed analysis. As per Jason, as the client has already confirmed that the errors started from 12:00 PM ET and they have stopped at 01:30 PM ET on 02/08. After analyzing the data provided by the client, it was found that there was no FIS environment issue between 12:30 PM - 1:30 PM ET. There could be some issue in the Charles Schwab Bank, SSB's environment as their devices could not reach FIS. However, if they feel there was any issue on the FIS side, please provide us more details/examples/data that demonstrates that something was wrong within the FIS environment.
Hence, CIM will mark this case as resolved under the ""Client Owned issue"". No PR required.

Resolver Group(s) that fixed the issue: NA - Client Owned issue.

Stakeholders/Other Groups: -
CIM - Diwanshu Jaswal; 
SDM – Frazier, Vinetta D;
Client Care API Support - Jennilene Pol; Jason Kassab;
Profile PO App Support - Karen Anderson;

Problem Ticket Tasks: - No PR required - ""Client Owned issue"".
",Unknown,2025-02-08 21:44:17,2025,Other
Unspecified Applications,BSG,No Known Alert,FIS,Priority 4,Application,Service portal,"Amerant Bank, National Association-ACH Positive Pay - Transactions Not presented to clients but awaiting approval",FIS,Solved (Permanently),Configuration issue,configuration,"Amerant Bank, National Association- ACH Positive Pay - Transactions Not presented to clients but awaiting approval",Unknown,2025-02-18 17:27:24,2025,Unknown
Unspecified Applications,BSG,No Known Alert,tbd,Priority 5,Application,Self-service,GETPAID - Emails not being send out of GetPaid PRD,FIS,Solved (workaround),Undetermined,unknown,"Summary: -
Tickets: GP-IN25016416569 / CIM-IN25016434935
Start: 2025-02-10 07:05 EST
End: 2025-02-13 09:35 EST
CIM Engaged: 2025-02-12 10:40 EST
Impact Mitigated: 2025-02-13 09:35 EST

Issue Description: GETPAID - Emails not being send out of GetPaid PRD.
Business Impact: GetPaid emails are not being sent out of get paid production to the customers due to a SMTP Authentication issue. The customers get the GETPAID A/R reports using these emails from the GetPaid PRD and failing to receive the GETPAID A/R reports is impacting their business.

Client Action: NA.
FIS Action:  CIM joined the bridge initiated by Moore, Alan joined from GP Cx T1 and engaged GP SAAS & Windows Virtual Cloud Support to triage the issue. Further, Cumbus, Justin R & Belton, Paul joined from GP Dev team discovered that this issue could be due to the version upgrade for Cashapp recently on Saturday. Hence, as per Cumbus, Justin R - Preliminary root cause: Upgrade on seventh occured. We populated new system property named 'SMTP.MAIL.START.TLS' . The default is false and that is the same we noticed in the system properties table. We updated the false value to true to indicate we intend to get a TLS session as opposed to a unencrypted connection. Further, Moore, Alan checked with the client ""Victaulic Co"" and confirmed that their issue is not resolved yet and SAAS team will have to restart the service now. However, since the issue is for one client currently, GP SAAS/Cx T1 team decided to perform the service restart in off business hours.
CIM is on stand-by and currently waiting for the next updates from the SAAS team to perform the service restart in off business hours (after 6 PM ET).

On 02/13, as per Kumar, BandaruRushyendra from SAAS both the servers' services restarted (Cashapp). However, as per the latest updates shared by the Kerfouf, Youcef; from GP CX T1 the client is still facing issue after the service restart. CIM bridge reconvene at 9:05 AM ET. Cumbus, Justin R from Dev, Moore, Alan; from GP Cx T1, Kumar, BandaruRushyendra; from SAAS joined the call to check the latest logs for this issue. Cumbus, Justin R; from GP Dev checked the logs and it was discovered that it was a different error yesterday. However, as per the todays logs it looks like a permission issue that client needs to correct that on their end. It's saying that out email address getpaid-smtp@dictate.com cannot send on behalf of seth.eisenberg@collections.victaulic.com. This looks like purely this is just a smtp issue at this point on the customer side. But that (554 5.2.252 - the subcode) right here is what they need to focus on right there. Further, as per Moore, Alan; the client has responded on the email that the TLS handshake error stopped, and they are now able to send e-mails. The issue is resolved now. Further, as discussed on the call no Problem ticket is needed. Hence, CIM will lower the incident priority to P3 mark this issue as resolved.


Resolver Group(s) that fixed the issue: Cumbus, Justin R & Belton, Paul joined - GetPaid Dev team

Stakeholders/Other Groups: -
CIM - Diwanshu Jaswal; Sayyed, Ishaq;
SDM - NA.
Moore, Alan - Corporate Liquidity - GETPAID SaaS - CX T1
Cumbus, Justin R & Belton, Paul joined - GetPaid Dev team; 
A, Aishwarya; Kumar, BandaruRushyendra – GetPaid SAAS

Problem Ticket Tasks: - No PR required (Permission issue that client needs to correct that on their end)
",Unknown,2025-02-13 15:03:34,2025,Unknown
IMIX Application,BSG,No Known Alert,Vendor,Priority 4,Application,Self-service,CP1 / GP4 - EMEA - PSL - IMIX application is down,FIS,Solved (workaround),Application issue,vendor circuit,"PSL reported IMIX application is down since 09:05 GMT. Kilik tasks/jobs are failed. 

No recovery action taken by FIS support teams. FIS vendor (ISL) have rebooted their application servers and services were also restarted to resolve the issue. RCA will be provided by vendor ISL. ",Unknown,2025-02-14 10:31:33,2025,Other
Base2000,BSG,No Known Alert,Client,Priority 5,Application,Service portal,Corp 4E - BASE2000 Outage,FIS,Solved (Permanently),Hardware failure,configuration,"Summary: -
Tickets: CS05821612 / IN25016496022
Start: 2025-02-18 16:00 ET (Issue start time)
End: 2025-02-19 15:23 ET
CIM Engaged: 2025-02-19 14:22 ET
Impact Mitigated: 2025-02-19 15:23 ET
Issue Description: Corp 4E - BASE2000 Outage
Business Impact: All of the users are uanable to access the website on the bank's network which is impacting their business production.
Client Action: NA.
FIS Action:  CIM initiated the bridge and engaged NOC team to triage the issue. As suggested by NOC, CIM paged - BASE2000 Tier 2 Support (Credit Client Care Notification Group). Osorio, Stefany, joined and suggested CIM to page TSG – STC Card Midrange support. Koppula, SnehaReddy & Ali, Tahir joined from TSG – STC Card Midrange support and can see everything is fine on the Application side.
The FIS network and Application teams have checked the shared traceroute logs and can see that the traffic is still within the client's network. It's not living the client's network from the network side. Hence, the client was suggested to check who manages their VPN tunnel and who is their Tunnel provider? Also, if they can check with their network team and confirm if the traffic is leaving their Firewall?
Further, at 3:23 PM ET the FIS network team has confirmed that they can see an active connection coming from the client right now hitting the FIS router.
CIM has send a note to the client to check and confirm the same.
Further, as suggested by SDM Wright, Todd, it was due to a hardware issue on the client side. Hence, CIM has marked this case as resolved under client owned issue.
Resolver Group(s) that fixed the issue: NA - Client owned issue.
Stakeholders/Other Groups: -
CIM - Diwanshu Jaswal;
SDM - Wright, Todd;
Enterprise NOC - Baetiong, Denmark;
BASE2000 Tier 2 Support - Cohen, Patricia;
Card Mid-Range - Ali, Tahir; Koppula, SnehaReddy;
Problem Ticket Tasks: - No PR required (Client owned issue)",Unknown,2025-02-20 02:15:38,2025,Core Banking
the job processing the input file FIS.BMO.DLY_FISIDP_CSMESSENGERHISTORY.DELTA.20250221.TXT.,BSG,No Known Alert,FIS,Priority 5,Application,Service portal,"BMO - D1 - PROD - L1_D1_FIS_IDP_FIS_CSMESSENGERHISTORY file with error  External Table : count of bad input rows reached maxerrors limit""EOD 20250221 BART-3132",FIS,Solved (workaround),Application issue,performance,"ETO Reporting Resolved the issue with TEXT field value and manually downloaded the data file with ETG  and sent to BMO which has been processed successfully @ BMO. 

The client confirmed at 2025-02-24 12:20:08 that File was successfully ingested and SDM have confirmed on the bridge chat that the issue is resolved as the files were processed without any problems. We will close this case as resolved and create a problem ticket for the Root Cause Analysis . The Service Delivery Manager will provide the RCA report once it is completed, following the FIS process. Closing this case as resolved.",Unknown,2025-02-24 19:17:03,2025,Other
CaseVue,BSG,Other,Vendor,Priority 4,Application,Self-service,CaseVue application URL is down,FIS,Solved (Permanently),Undetermined,unknown,CaseVue application URL is down. Root cause is still under investigation.,The application team received the alert from splunk.,2023-02-10 10:45:24,2023,Other
"IBS Banking System - MIBS, Mobile, CeB",BSG,Other,FIS,Priority 1,Monitoring,Self-service,IMS / Regions were exhibiting slowness and failures,FIS,Solved (Permanently),Application issue,change deployment,IBS regions queuing intermittently due to a Cardbase release change.,"There were alerts for several clients.  The ones reported to EIM were from Alert Center, starting at 07:34 ct on BCFS, TD and at 08:00 ct for Cap1.",2023-02-12 17:54:06,2023,Digital
Processor Links - FISB,BSG,No Known Alert,FIS,Priority 3,Monitoring,Self-service,Processor Links - FISB / Cadence Bank format errors following CMS change 2300002500,"Cadence Bancorp, LLC",Solved (Permanently),Change induced,change deployment,Cadence Bancorp Point-Of-Sale (POS) debit transactions were declining due to a code change implemented by FIS.,Unknown,2023-02-13 16:23:31,2023,Other
"Mobile, ImageCentre, B2K RTDX, Decision Solutions, CapeRAS, Profile/P7, MBP/RAS, Prepaid South, RTDX/Target/Service View, OLB\D1flex, BancPac, Horizon, CEB, Splunk, Credit IVR, Certegy Check, Authnet, Norcross, MOVEit, MFA, Client Portal, eZCard Global, RSA, AA, IdP (Cloud 6), VICOR",BSG,SnowCentral Event,FIS,Priority 3,Network,Alert,Network latency in Little Rock impacting multiple applications,FIS,Solved (workaround),Connectivity issue,configuration,Network issues impacted applications in the Little Rock data center.  The root cause is under investigation.,Network Teams and various application support teams.,2023-02-23 10:09:28,2023,Digital
"Image Centre, MoveIt Automation ETG (Enterprise Transmission Group)",BSG,Other,Client,Priority 4,Batch & Data Transmission,Self-service,Image Centre / Image Centre Clients connecting to Banker's Bank are experiencing Connectivity Issue due to IP Change of Banker's Bank FTP Server,FIS,Solved (Permanently),Connectivity issue,configuration,"Image Centre clients were unable to connect to Banker's Bank, due to IP address change of Banker's Bank FTP server. ",Operations team found out about the issue when the return files are not being loaded to Banker's Bank USA. ,2023-05-18 05:37:24,2023,Integration
"Modern Banking Platform (MBP), Online Banking (OLB), BillPay, Digital One (D1) -Biz, Digital One (D1)- CAX, Digital One (D1)-MFB, Digital One (D1) -Flex, EBTEdge, Decision Solutions, EAM, Loyalty, EAS Phase 3, Mobile, Certegy Check, and Mobile.",BSG,Other,FIS,Priority 3,Application,Other,Network / Applications in BDOC observed increase in response times and drop in traffic,FIS,Solved (Permanently),Connectivity issue,load,Applications in BDOC observed increase in response times and drop in traffic due to an automatic failover occurring.,Application Team,2023-05-25 05:46:33,2023,Digital
Dispute Resolution Center (DRC),BSG,Other,FIS,Priority 3,Workstations & Printers,Global Support Center,DRC App/ Application was unavailable due to database issue in Little Rock.,FIS,Solved (Permanently),Change induced,unknown,Dispute Resolution Center (DRC) application was unavailable due to a database sync issue in Little Rock DC. ,DBA Team,2023-06-05 11:38:35,2023,Other
Unspecified Applications,BSG,No Known Alert,FIS,Priority 5,Application,Self-service,Remote Deposit Capture / BRINKS cannot log in at 25 locations after Akamai migration,FIS,Solved (workaround),Change induced,change validation,"Remote Deposit Capture (Branch Capture)  was unavailable for client Brinks due to a network change.
",Unknown,2023-06-06 03:39:51,2023,Unknown
"Digital One, Mobile Banking, Profile, CEB",BSG,Other,Client,Priority 4,Application,Walk up,BDOC MF IMS E / Reports of Latency,FIS,Solved (Permanently),Human error,load,BeB and DeB on CIT Mobile experienced high response times due to a c lient subumitting  test transactions.,Environmental support saw the alerts for slow response times.,2023-06-06 17:48:45,2023,Digital
DirectLink Risk Review Product,BSG,No Known Alert,FIS,Priority 5,Server,Self-service,GPU server down for FIS DirectLink Risk Review Product.,FIS,Solved (Permanently),Undetermined,unknown,Server was restored due to it being in a down state for  DirectLink Risk Review.,Unknown,2023-06-13 15:35:30,2023,Image/Doc
Unspecified Applications,BSG,No Known Alert,FIS,Priority 5,Network,Self-service," Horizon / Single point of failure for single client, First Arkansas Bank & Trust backup for Horizon due to their eVault connectivity request. ",FIS,No Action Taken,Connectivity issue,configuration,"Single point of failure for single client, First Arkansas Bank & Trust backup for Horizon due to their eVault connectivity request. ",Unknown,2023-06-15 02:15:42,2023,Unknown
"Banking Solutions: Apex Collateral, Decision Solutions, MISER, Payment One, Prepaid South, ETG, MOVEit Transfer, Business Intelligence Center, Trust, PeopleSoft, CR applications for Bank 309 City National Bank, Integrated Payables, Vision 4, Prime, BillPay, EBT, ACHPS Production, Business eBanking, Fidelity Item Processing, IAT OFAC Processor, ACH Tracker, RTP - Real-time Payments (OPF Product).

Capital Markets: XSP, Phase 3, AutoSuite Dealer Finance","BSG, CM",No Known Alert,Vendor,Priority 3,General Technical,Self-service,Third-Party vendor 'Progress' reported an issue with the MOVEit Transfer application,FIS,Solved (Permanently),Recurrence,unknown,"MOVEit Transfer application was impacted due to a service disruption issue with third party vendor, Progress.",Unknown,2023-06-16 04:18:32,2023,Payments
Unspecified Applications,BSG,No Known Alert,FIS,Priority 5,Application,Email,Config change for RNST,FIS,Solved (Permanently),Configuration issue,change script,Configuration change for RNST so that the bank service representatives can change password prior to migration. The root cause is under investigation.,Unknown,2023-06-25 22:38:54,2023,Unknown
"FIS Treasury Quantum, Integrity, TRAX, Intellimatch, GETPaid","CM, BSG",No Known Alert,Vendor,Priority 2,General Technical,Service portal,Quantum / TRAX - Clients were unable to connect to applications,Eaton Corp.,Solved (Permanently),Application issue,configuration,US clients connecting to four Capital Markets applications experienced a connectivity issue due to an error occurring on the Palo Alto Firewall policy.,Unknown,2023-06-27 15:58:41,2023,Other
Unspecified Applications,BSG,Other,FIS,Priority 4,Application,Email,Code Connect API failure,FIS,Solved (Permanently),Undetermined,unknown,"CA Cardholder Portal and CA, CO, WI Texas Rest APIs intermittently could not connect due to an issue with the journal services. ",EBT ASG,2023-07-15 19:16:21,2023,Unknown
Unspecified Applications,BSG,No Known Alert,FIS,Priority 4,General Technical,Self-service,Heat issue in Little Rock development/training/quality  environments,FIS,Solved (Permanently),Hardware failure,hardware,Bankway CornerStone training/quality enviornment impacted due to Little Rock Datacenter cooling issue.,Unknown,2023-07-20 12:04:18,2023,Unknown
Citrix,"MS, CM, BSG",No Known Alert,Vendor,Priority 3,Application,Walk up,External Citrix unavailable to merchants/clients,FIS,Solved (Permanently),Security Incident,external,Citrix environments were unavailable to external clients due to Citrix  performing critical maintenance for a Zero Day Vulnerability.,Unknown,2023-07-20 09:52:20,2023,Other
PaymentsOne Credit Card exceptions (P1CC),BSG,Other,Client,Priority 3,Application,Email,PaymentsOne Credit Card (P1CC) exceptions,FIS,Solved (Permanently),Capacity issue,load,PaymentsOne single client One Main Financial experienced timeouts due to increased volume of records sent by the client.,Splunk,2023-07-21 04:38:18,2023,Payments
Unspecified Applications,BSG,Other,fis vendor,Priority 4,Network,Self-service,Globalscape EFT / Users intermittent connectivity San Antonio office,FIS,Solved (workaround),Undetermined,vendor circuit,San Antonio office had intermittent connectivity to file and print sharing via Global Scape due to a faulty AT&T Switch.  Network team failed over to Verizon circuit to mitigate.  ,NOC ,2023-08-18 19:26:29,2023,Unknown
PaymentsOne,BSG,No Known Alert,FIS,Priority 4,General Technical,Self-service,hFIS/BSG/Clients unable to add new accounts on P1C,FIS,Solved (Permanently),Change induced,configuration,"Payments One Credit (P1C)-P1C Clients were unable to add new accounts due to release activity. 
",Unknown,2023-08-22 18:26:00,2023,Payments
FIS Remittance Processing - (RMP),BSG,No Known Alert,FIS,Priority 4,Application,Email,FIS Remittance Processing issue.,FIS,Solved (Permanently),Human error,human error,FIS Remittance Processing-RMP Clients experienced intermittent delays in processing checks.  Root cause is under investigation. ,Unknown,2023-09-07 23:17:06,2023,Other
Unspecified Applications,BSG,No Known Alert,FIS,Priority 4,Security,Email,Single Client Amex Connection issues to LR DC,FIS,Solved (Permanently),Change induced,change deployment,Open Payment Framework-OPF Little Rock data center was inaccessible to client Amex due to a missed route following annual failover. ,Unknown,2023-08-28 19:26:03,2023,Unknown
"MoveIT, H2H",BSG,No Known Alert,client vendor,Priority 4,Network,3rd party integration,H2H- MoveIT/State of California - CalWIN Online services are unavailable to cardholders,"State of California, Department of General Services",Solved by Client/Vendor,Connectivity issue,vendor circuit,"MoveIT Application State of California, Department of General Services to card holders are unavailable. Root cause is under investigation. ",Unknown,2023-08-29 21:35:14,2023,Integration
Remittance,BSG,No Known Alert,FIS,Priority 4,Application,Email,Remittance Processing / users are unable to login to IPM0 server with passcode,FIS,Solved (Permanently),Undetermined,performance,Remittance Processing clients are unable to view money movement images.  Root cause is being investigated.  ,Unknown,2023-08-31 02:48:42,2023,Other
"Corporate Actions Manager Suite (XSP), Decision Solution Discovery Platform
","BSG, CM",Other,FIS,Priority 3,Server,Event monitor,"XSP, Decision Solutions / New FIS security scanner is overloading the BDOC LNPCI Gen2 Reverse Proxy",FIS,Solved (workaround),Connectivity issue,scan,XSP and Decision Solution applications were unavailable due to a newly installed security scanner flooding the BDOC reverse proxies with traffic.,App Team,2023-09-28 11:06:30,2023,Other
